-0.5	0.012025
-0.49	0.012025
-0.48	0.012025
-0.47	0.012025
-0.46	0.012025
-0.45	0.012025
-0.44	0.012025
-0.43	0.012025
-0.42	0.012025
-0.41	0.012025
-0.4	0.012025
-0.39	0.012025
-0.38	0.012025
-0.37	0.012025
-0.36	0.012025
-0.35	0.012025
-0.34	0.012025
-0.33	0.012025
-0.32	0.012025
-0.31	0.012025
-0.3	0.012025
-0.29	0.012025
-0.28	0.012025
-0.27	0.012025
-0.26	0.0210393
-0.25	0.0210393
-0.24	0.0274248
-0.23	0.0274248
-0.22	0.0398309
-0.21	0.0553476
-0.2	0.0553476
-0.19	0.0613569
-0.18	0.0793856
-0.17	0.100677
-0.16	0.137614
-0.15	0.161899
-0.14	0.189446
-0.13	0.242663
-0.12	0.301267
-0.11	0.388028
-0.1	0.47506
-0.09	0.563372
-0.08	0.638009
-0.07	0.741344
-0.06	0.827871
-0.05	0.909292
-0.04	0.93083
-0.03	0.998072
-0.02	0.998072
-0.01	0.985925
0	0.976652
0.01	0.976652
0.02	0.964633
0.03	0.946112
0.04	0.900783
0.05	0.867226
0.06	0.852085
0.07	0.834878
0.08	0.822859
0.09	0.822859
0.1	0.807718
0.11	0.795195
0.12	0.79219
0.13	0.776907
0.14	0.749619
0.15	0.716062
0.16	0.694899
0.17	0.67011
0.18	0.630919
0.19	0.581963
0.2	0.564228
0.21	0.53681
0.22	0.512397
0.23	0.478464
0.24	0.435389
0.25	0.373909
0.26	0.354754
0.27	0.31845
0.28	0.300163
0.29	0.300163
0.3	0.278884
0.31	0.251712
0.32	0.209399
0.33	0.175091
0.34	0.150795
0.35	0.129926
0.36	0.108306
0.37	0.105301
0.38	0.0932821
0.39	0.081005
0.4	0.0717448
0.41	0.0627305
0.42	0.0567212
0.43	0.0353121
0.44	0.0291738
0.45	0.0140206
0.46	0.0140206
0.47	0.0140206
0.48	0.0140206
0.49	0.0140206
